REGION, INSTITUTION NAME, INSTITUTION TYPE, PROVINCE, MUNICIPALITY/CITY
04 - CALABARZON,STI College-Southwoods,Private HEI,Cavite,Carmona
04 - CALABARZON,Cavite State University-Carmona Campus,SUC Satellite,Cavite,Carmona
04 - CALABARZON,Manuel S. Enverga University Foundation-Catanauan,Private HEI,Quezon,Catanauan
04 - CALABARZON,Southern Luzon State University-Catanauan,SUC Satellite,Quezon,Catanauan
04 - CALABARZON,Deaf Evangelistic Alliance Foundation,Private HEI,Laguna,Cavinti
04 - CALABARZON,St. Joseph College of Cavite,Private HEI,Cavite,Cavite City
04 - CALABARZON,San Sebastian College-Recoletos de Cavite,Private HEI,Cavite,Cavite City
04 - CALABARZON,Cavite State University-Cavite City Camous,SUC Satellite,Cavite,Cavite City
04 - CALABARZON,Saint Benilde International School-Calamba,Private HEI,Laguna,Calamba City
04 - CALABARZON,NU Dasmariñas,Private HEI,Cavite,Dasmarinas City
04 - CALABARZON,De La Salle University-Dasmariñas,Private HEI,Cavite,Dasmarinas City
04 - CALABARZON,De La Salle Health Sciences Institute,Private HEI,Cavite,Dasmarinas City
04 - CALABARZON,PTS College and Advanced Studies,Private HEI,Cavite,Dasmarinas City
04 - CALABARZON,Technological University of the Philippines-Cavite,SUC Satellite,Cavite,Dasmarinas City
04 - CALABARZON,AMA Computer College-Dasmariñas,Private HEI,Cavite,Dasmarinas City
04 - CALABARZON,Emilio Aguinaldo Educational Corporation-Emilio Aguinaldo College,Private HEI,Cavite,Dasmarinas City
04 - CALABARZON,National College of Science and Technology,Private HEI,Cavite,Dasmarinas City
04 - CALABARZON,St. Jude College-Dasmariñas,Private HEI,Cavite,Dasmarinas City
04 - CALABARZON,STI College-Dasmariñas,Private HEI,Cavite,Dasmarinas City
04 - CALABARZON,PNTC Colleges,Private HEI,Cavite,Dasmarinas City
04 - CALABARZON,Oxfordian Colleges,Private HEI,Cavite,Dasmarinas City
04 - CALABARZON,Far Eastern Polytechnic College,Private HEI,Cavite,Dasmarinas City
04 - CALABARZON,Immanuel Theological Seminary,Private HEI,Cavite,Dasmarinas City
04 - CALABARZON,Brookfield College in Cavite,Private HEI,Cavite,Dasmarinas City
04 - CALABARZON,Marasigan Institute of Science and Technology,Private HEI,Cavite,Dasmarinas City
04 - CALABARZON,AISAT College-Dasmariñas,Private HEI,Cavite,Dasmarinas City
04 - CALABARZON,MOL Magsaysay Maritime Academy,Private HEI,Cavite,Dasmarinas City
04 - CALABARZON,Southern Luzon College of Business Maritime Science and Technology,Private HEI,Cavite,Dasmarinas City
04 - CALABARZON,FCD Central Institute,Private HEI,Cavite,Dasmarinas City
04 - CALABARZON,Kolehiyo ng Lungsod ng Dasmariñas,LUC,Cavite,Dasmarinas City
04 - CALABARZON,Polytechnic University of the Philippines-General Luna Quezon,SUC Satellite,Quezon,General Luna
04 - CALABARZON,University of Perpetual Help System-GMA Campus,Private HEI,Cavite,General Mariano Alvarez
04 - CALABARZON,Philippine Technological Institute of Science Arts and Trade-Central,Private HEI,Cavite,General Mariano Alvarez
04 - CALABARZON,"Eulogio ""Amang"" Rodriguez Institute of Science and Technology-Cavite",SUC Satellite,Cavite,General Mariano Alvarez
04 - CALABARZON,Ebenezer International Colleges,Private HEI,Cavite,General Trias City
04 - CALABARZON,Lyceum of the Philippines-Cavite Campus,Private HEI,Cavite,General Trias City
04 - CALABARZON,Cavite State University-General Trias Campus,SUC Satellite,Cavite,General Trias City
04 - CALABARZON,Young Ji College,Private HEI,Cavite,General Trias City
04 - CALABARZON,Samuel Christian College of General Trias,Private HEI,Cavite,General Trias City
04 - CALABARZON,Guinayangan College Foundation,Private HEI,Quezon,Guinayangan
04 - CALABARZON,Eastern Quezon College,Private HEI,Quezon,Gumaca
04 - CALABARZON,Mt. St. Aloysius College Seminary,Private HEI,Quezon,Gumaca
04 - CALABARZON,Holy Child Jesus College,Private HEI,Quezon,Gumaca
04 - CALABARZON,Southern Luzon State University-Gumaca Campus,SUC Satellite,Quezon,Gumaca
04 - CALABARZON,Imus Institute of Science and Technology,Private HEI,Cavite,Imus City
04 - CALABARZON,Southern Philippines Institute of Science and Technology,Private HEI,Cavite,Imus City
04 - CALABARZON,Unida Christian Colleges,Private HEI,Cavite,Imus City
04 - CALABARZON,Cavite State University-Imus Campus,SUC Satellite,Cavite,Imus City
04 - CALABARZON,Southdale International School of Science Arts and Techology,Private HEI,Cavite,Imus City
04 - CALABARZON,Montessori Professional Colleges of Asia-Imus,Private HEI,Cavite,Imus City
04 - CALABARZON,Colegio de Porta Vaga,Private HEI,Cavite,Imus City
04 - CALABARZON,Informatics College Cavite,Private HEI,Cavite,Imus City
04 - CALABARZON,Cavite State University-Main,SUC Main,Cavite,Indang
04 - CALABARZON,Northern Quezon College,Private HEI,Quezon,Infanta
04 - CALABARZON,Southern Luzon State University-Infanta,SUC Satellite,Quezon,Infanta
04 - CALABARZON,Acts Computer College-Infanta,Private HEI,Quezon,Infanta
04 - CALABARZON,Lemery Colleges,Private HEI,Batangas,Lemery
04 - CALABARZON,Batangas State University-Lemery,SUC Satellite,Batangas,Lemery
04 - CALABARZON,De La Salle - Lipa,Private HEI,Batangas,Lipa City
04 - CALABARZON,Lipa City Colleges,Private HEI,Batangas,Lipa City
04 - CALABARZON,Our Lady of Lourdes Seminary,Private HEI,Batangas,Lipa City
04 - CALABARZON,Batangas State University-Lipa City,SUC Satellite,Batangas,Lipa City
04 - CALABARZON,Philippine State College of Aeronautics-Fernando Air Base,SUC Satellite,Batangas,Lipa City
04 - CALABARZON,St. Francis de Sales Major Seminary,Private HEI,Batangas,Lipa City
04 - CALABARZON,Kolehiyo ng Lungsod ng Lipa,LUC,Batangas,Lipa City
04 - CALABARZON,STI College-Lipa,Private HEI,Batangas,Lipa City
04 - CALABARZON,Oblates of Saint Joseph College of Philosophy,Private HEI,Batangas,Lipa City
04 - CALABARZON,AMA Computer College-Lipa City,Private HEI,Batangas,Lipa City
04 - CALABARZON,St. Francis de Sales Theological Seminary,Private HEI,Batangas,Lipa City
04 - CALABARZON,Batangas College of Arts and Sciences,Private HEI,Batangas,Lipa City
04 - CALABARZON,University of Batangas-Lipa,Private HEI,Batangas,Lipa City
04 - CALABARZON,ICT-ED Institute of Science and Technology,Private HEI,Batangas,Lipa City
04 - CALABARZON,St. Augustine School of Nursing-Lipa,Private HEI,Batangas,Lipa City
04 - CALABARZON,New Era University - Lipa Campus,Private HEI,Batangas,Lipa City
04 - CALABARZON,Royal British College,Private HEI,Batangas,Lipa City
04 - CALABARZON,Batangas State University-Lobo,SUC Satellite,Batangas,Lobo
04 - CALABARZON,Eastern Tayabas College,Private HEI,Quezon,Lopez
04 - CALABARZON,Philippine Normal University-Lopez,SUC Satellite,Quezon,Lopez
04 - CALABARZON,Polytechnic University of the Philippines-Lopez,SUC Satellite,Quezon,Lopez
04 - CALABARZON,Colegio de Los Baños,Private HEI,Laguna,Los Banos
04 - CALABARZON,Laguna State Polytechnic University-Los Baños,SUC Satellite,Laguna,Los Banos
04 - CALABARZON,University of the Philippines-Los Baños,SUC Satellite,Laguna,Los Banos
04 - CALABARZON,University of the Philippines-Open University,SUC Satellite,Laguna,Los Banos
04 - CALABARZON,Trace College,Private HEI,Laguna,Los Banos
04 - CALABARZON,Southern Luzon State University,SUC Main,Quezon,Lucban
04 - CALABARZON,Our Lady of the Most Holy Rosary Seminary,Private HEI,Quezon,Lucban
04 - CALABARZON,Manuel S. Enverga University Foundation-Lucena,Private HEI,Quezon,Lucena City
04 - CALABARZON,Calayan Educational Foundation,Private HEI,Quezon,Lucena City
04 - CALABARZON,Sacred Heart College,Private HEI,Quezon,Lucena City
04 - CALABARZON,St. Anne College Lucena,Private HEI,Quezon,Lucena City
04 - CALABARZON,STI College-Lucena,Private HEI,Quezon,Lucena City
04 - CALABARZON,Maryhill College,Private HEI,Quezon,Lucena City
04 - CALABARZON,Inter-Global College Foundation,Private HEI,Quezon,Lucena City
04 - CALABARZON,St. Alphonsus School of Theology,Private HEI,Quezon,Lucena City
04 - CALABARZON,Southern Luzon State University-Lucena,SUC Satellite,Quezon,Lucena City
04 - CALABARZON,AMA Computer College-Lucena,Private HEI,Quezon,Lucena City
04 - CALABARZON,Baptist Voice Bible College,Private HEI,Quezon,Lucena City
04 - CALABARZON,Dalubhasaan ng Lungsod ng Lucena,LUC,Quezon,Lucena City
04 - CALABARZON,Quezon Center for Research and Studies-Institute of Management,Private HEI,Quezon,Lucena City
04 - CALABARZON,Alpha Centauri Educational System,Private HEI,Quezon,Lucena City
04 - CALABARZON,ABE International Business College-Quezon Province,Private HEI,Quezon,Lucena City
04 - CALABARZON,BWEST College,Private HEI,Quezon,Lucena City
04 - CALABARZON,St. Augustine School of Nursing - Lucena,Private HEI,Quezon,Lucena City
04 - CALABARZON,Mabini College of Batangas,Private HEI,Batangas,Mabini
04 - CALABARZON,Batangas State University-Mabini,SUC Satellite,Batangas,Mabini
04 - CALABARZON,Kurios Christian Colleges Foundation,Private HEI,Cavite,Magallanes
04 - CALABARZON,West Point College-Magallanes,Private HEI,Cavite,Magallanes
04 - CALABARZON,Batangas State University-Malvar,SUC Satellite,Batangas,Malvar
04 - CALABARZON,Polytechnic University of the Philippines-Maragondon,SUC Satellite,Cavite,Maragondon
04 - CALABARZON,Pambayang Kolehiyo ng Mauban,LUC,Quezon,Mauban
04 - CALABARZON,University of Rizal System-Morong,SUC Satellite,Rizal,Morong
04 - CALABARZON,Tomas Claudio Colleges,Private HEI,Rizal,Morong
04 - CALABARZON,East Systems College of Rizal,Private HEI,Rizal,Morong
04 - CALABARZON,Renaissance School of Science and Technology,Private HEI,Rizal,Morong
04 - CALABARZON,Polytechnic University of the Philippines-Mulanay,SUC Satellite,Quezon,Mulanay
04 - CALABARZON,Cavite State University-Naic Campus,SUC Satellite,Cavite,Naic
04 - CALABARZON,Western Colleges,Private HEI,Cavite,Naic
04 - CALABARZON,Granby Colleges of Science & Technology,Private HEI,Cavite,Naic
04 - CALABARZON,Batangas State University-Nasugbu,SUC Satellite,Batangas,Nasugbu
04 - CALABARZON,Dr. Francisco L. Calingasan Memorial Colleges Foundation,Private HEI,Batangas,Nasugbu
04 - CALABARZON,Paete Science and Business College,Private HEI,Laguna,Paete
04 - CALABARZON,CVE Colleges,Private HEI,Quezon,Pagbilao
04 - CALABARZON,Balian Community College,LUC,Laguna,Pangil
04 - CALABARZON,Laguna Maritime Arts and Business Colleges,Private HEI,Laguna,Pangil
04 - CALABARZON,San Antonio de Padua College,Private HEI,Laguna,Pila
04 - CALABARZON,St. Therese College of Arts and Sciences,Private HEI,Laguna,Pila
04 - CALABARZON,University of Rizal System-Pililia,SUC Satellite,Rizal,Pililia
04 - CALABARZON,Southern Luzon State University-Polilio,SUC Satellite,Quezon,Polillo
04 - CALABARZON,University of Rizal System-Rodriguez,SUC Satellite,Rizal,Rodriguez
04 - CALABARZON,Colegio de Montalban,LUC,Rizal,Rodriguez
04 - CALABARZON,St. Joseph's College of Rodriguez,Private HEI,Rizal,Rodriguez
04 - CALABARZON,Asia-Pacific Christian College and Seminary,Private HEI,Rizal,Rodriguez
04 - CALABARZON,Batangas State University-Rosario,SUC Satellite,Batangas,Rosario
04 - CALABARZON,Teodoro M. Luansing College of Rosario,Private HEI,Batangas,Rosario
04 - CALABARZON,Saint Joseph College of Rosario Batangas,Private HEI,Batangas,Rosario
04 - CALABARZON,Cavite State University-Rosario Campus,SUC Satellite,Cavite,Rosario
04 - CALABARZON,STI College-Rosario,Private HEI,Cavite,Rosario
04 - CALABARZON,Manuel S. Enverga Institute Foundation-San Antonio,Private HEI,Quezon,San Antonio
04 - CALABARZON,Batangas State University-San Juan,SUC Satellite,Batangas,San Juan
04 - CALABARZON,Batangas Eastern Colleges,Private HEI,Batangas,San Juan
04 - CALABARZON,St. Matthew College,Private HEI,Rizal,San Mateo
04 - CALABARZON,San Mateo Municipal College,LUC,Rizal,San Mateo
04 - CALABARZON,ICCT Colleges Foundation-San Mateo,Private HEI,Rizal,San Mateo
04 - CALABARZON,Eastern Star Academy,Private HEI,Rizal,San Mateo
04 - CALABARZON,Canossa College,Private HEI,Laguna,San Pablo City
04 - CALABARZON,Laguna College,Private HEI,Laguna,San Pablo City
04 - CALABARZON,St. Peter's College Seminary,Private HEI,Laguna,San Pablo City
04 - CALABARZON,Laguna State Polytechnic University-San Pablo City,SUC Satellite,Laguna,San Pablo City
04 - CALABARZON,San Pablo Colleges,Private HEI,Laguna,San Pablo City
04 - CALABARZON,STI College-San Pablo,Private HEI,Laguna,San Pablo City
04 - CALABARZON,Dalubhasaan ng Lungsod ng San Pablo,LUC,Laguna,San Pablo City
04 - CALABARZON,ACLC College of San Pablo,Private HEI,Laguna,San Pablo City
04 - CALABARZON,Lyceum de San Pablo,Private HEI,Laguna,San Pablo City
04 - CALABARZON,Laguna Northwestern College,Private HEI,Laguna,San Pedro City
04 - CALABARZON,St. Louis Anne Colleges of San Pedro Laguna,Private HEI,Laguna,San Pedro City
04 - CALABARZON,San Pedro College of Business Administration,Private HEI,Laguna,San Pedro City
04 - CALABARZON,Colegio De San Pedro,Private HEI,Laguna,San Pedro City
04 - CALABARZON,Laguna Science and Technology College,Private HEI,Laguna,San Pedro City
04 - CALABARZON,IETI College of Science and Technology,Private HEI,Laguna,San Pedro City
04 - CALABARZON,Our Lady of Assumption College of Laguna,Private HEI,Laguna,San Pedro City
04 - CALABARZON,Saint Francis Institute of Computer Studies,Private HEI,Laguna,San Pedro City
04 - CALABARZON,Casa Del Niño College,Private HEI,Laguna,San Pedro City
04 - CALABARZON,Polytechnic University of the Philippines-San Pedro,SUC Satellite,Laguna,San Pedro City
04 - CALABARZON,Magna Anima Teachers College,Private HEI,Laguna,Santa Rosa City
04 - CALABARZON,Colegio de Santo Cristo de Burgos,Private HEI,Quezon,Sariaya
04 - CALABARZON,CSTC College of Sciences Technology and Communications,Private HEI,Quezon,Sariaya
04 - CALABARZON,Adventist University of the Philippines,Private HEI,Cavite,Silang
04 - CALABARZON,Saint Paul Seminary,Private HEI,Cavite,Silang
04 - CALABARZON,Philippine Missionary Institute,Private HEI,Cavite,Silang
04 - CALABARZON,Philippine National Police Academy,OGS,Cavite,Silang
04 - CALABARZON,Adventist International Institute of Advanced Studies,Private HEI,Cavite,Silang
04 - CALABARZON,Rogationist College,Private HEI,Cavite,Silang
04 - CALABARZON,Cavite State University-Silang Campus,SUC Satellite,Cavite,Silang
04 - CALABARZON,Far Eastern College-Silang,Private HEI,Cavite,Silang
04 - CALABARZON,South Forbes City College,Private HEI,Cavite,Silang
04 - CALABARZON,Our Lady of La Sallete College Seminary,Private HEI,Cavite,Silang
04 - CALABARZON,Asian Seminary of Christian Ministries,Private HEI,Cavite,Silang
04 - CALABARZON,Laguna State Polytechnic University-Main,SUC Main,Laguna,Siniloan
04 - CALABARZON,Laguna Northwestern College-SLRMC,Private HEI,Laguna,Siniloan
04 - CALABARZON,ACTS Computer College,Private HEI,Laguna,Sta. Cruz
04 - CALABARZON,Laguna State Polytechnic University-Sta. Cruz,SUC Satellite,Laguna,Sta. Cruz
04 - CALABARZON,Union College of Laguna,Private HEI,Laguna,Sta. Cruz
04 - CALABARZON,STI College-Sta. Cruz,Private HEI,Laguna,Sta. Cruz
04 - CALABARZON,AMA Computer College-Sta.Cruz,Private HEI,Laguna,Sta. Cruz
04 - CALABARZON,Philippine Women's University-Career Development and Continuing Education Center-Sta. Cruz,Private HEI,Laguna,Sta. Cruz
04 - CALABARZON,Laguna University,LUC,Laguna,Sta. Cruz
04 - CALABARZON,Southbay Montessori School and Colleges,Private HEI,Laguna,Sta. Cruz
04 - CALABARZON,Dominican College of Sta. Rosa,Private HEI,Laguna,Sta. Rosa City
04 - CALABARZON,LNC Corinthian Center,Private HEI,Laguna,Sta. Rosa City
04 - CALABARZON,STI College-Sta. Rosa,Private HEI,Laguna,Sta. Rosa City
04 - CALABARZON,Asia Technological School of Science and Arts,Private HEI,Laguna,Sta. Rosa City
04 - CALABARZON,New Sinai School and Colleges-Sta. Rosa,Private HEI,Laguna,Sta. Rosa City
04 - CALABARZON,St. Ignatius Technical Institute of Business and Arts,Private HEI,Laguna,Sta. Rosa City
04 - CALABARZON,Our Lady of Fatima University-Sta. Rosa,Private HEI,Laguna,Sta. Rosa City
04 - CALABARZON,Polytechnic University of the Philippines-Sta. Rosa,SUC Satellite,Laguna,Sta. Rosa City
04 - CALABARZON,Polytechnic University of the Philippines-Sto. Tomas,SUC Satellite,Batangas,Sto. Tomas
04 - CALABARZON,First Industrial Science and Technology College,Private HEI,Batangas,Sto. Tomas City
04 - CALABARZON,Rizal College of Taal,Private HEI,Batangas,Taal
04 - CALABARZON,Divine Word Seminary-Tagaytay,Private HEI,Cavite,Tagaytay City
04 - CALABARZON,Olivarez College-Tagaytay,Private HEI,Cavite,Tagaytay City
04 - CALABARZON,City College of Tagaytay,LUC,Cavite,Tagaytay City
04 - CALABARZON,STI College-Tagaytay,Private HEI,Cavite,Tagaytay City
04 - CALABARZON,Southern Luzon State University-Tagkawayan,SUC Satellite,Quezon,Tagkawayan
04 - CALABARZON,Tanauan Institute,Private HEI,Batangas,Tanauan City
04 - CALABARZON,First Asia Institute of Technology and Humanities,Private HEI,Batangas,Tanauan City
04 - CALABARZON,La Consolacion College-Tanauan,Private HEI,Batangas,Tanauan City
04 - CALABARZON,DMMC Institute of Health Sciences,Private HEI,Batangas,Tanauan City
04 - CALABARZON,STI College-Tanauan,Private HEI,Batangas,Tanauan City
04 - CALABARZON,NTC Education-Batangas,Private HEI,Batangas,Tanauan City
04 - CALABARZON,Tanauan City College,LUC,Batangas,Tanauan City
04 - CALABARZON,Sapphire International Aviation Academy,Private HEI,Batangas,Tanauan City
04 - CALABARZON,University of Rizal System-Tanay,SUC Main,Rizal,Tanay
04 - CALABARZON,San Ildefonso College,Private HEI,Rizal,Tanay
04 - CALABARZON,International Peace Leadership College,Private HEI,Rizal,Tanay
04 - CALABARZON,STI College-Tanay,Private HEI,Rizal,Tanay
04 - CALABARZON,Power School of Technology,Private HEI,Cavite,Tanza
04 - CALABARZON,Cavite State University-Tanza Campus,SUC Satellite,Cavite,Tanza
04 - CALABARZON,Far East Asia Pacific Institute of Tourism Science and Technology,Private HEI,Cavite,Tanza
04 - CALABARZON,St. John Bosco College of Tayabas,Private HEI,Quezon ,Tayabas City
04 - CALABARZON,Colegio de La Ciudad de Tayabas,LUC,Quezon ,Tayabas City
04 - CALABARZON,Southern Luzon State University-Tayabas,SUC Satellite,Quezon ,Tayabas City
04 - CALABARZON,Asia-Pacific Nazarene Theological Seminary,Private HEI,Rizal,Taytay
04 - CALABARZON,Harris Memorial College,Private HEI,Rizal,Taytay
04 - CALABARZON,National College of Business and Arts-Taytay,Private HEI,Rizal,Taytay
04 - CALABARZON,Siena College of Taytay,Private HEI,Rizal,Taytay
04 - CALABARZON,Baptist Bible Seminary and Institute,Private HEI,Rizal,Taytay
04 - CALABARZON,University of Rizal System-Taytay,SUC Satellite,Rizal,Taytay
04 - CALABARZON,ACLC College of Taytay,Private HEI,Rizal,Taytay
04 - CALABARZON,College of Arts and Sciences of Asia and the Pacific,Private HEI,Rizal,Taytay
04 - CALABARZON,Grain of Wheat College,Private HEI,Rizal,Taytay
04 - CALABARZON,ICCT Colleges Foundation-Taytay,Private HEI,Rizal,Taytay
04 - CALABARZON,Daehan College of Business and Technology,Private HEI,Rizal,TayTay
04 - CALABARZON,Cavite West Point College,Private HEI,Cavite,Ternate
04 - CALABARZON,Southern Luzon State University-Tiaong Campus,SUC Satellite,Quezon,Tiaong
04 - CALABARZON,Asian Institute of Technology and Education-Tiaong Campus,Private HEI,Quezon,Tiaong
04 - CALABARZON,Olinsterg College,Private HEI,Quezon,Tiaong
04 - CALABARZON,Cavite State University-Trece Martires City Campus,SUC Satellite,Cavite,Trece Martires City
04 - CALABARZON,Colegio de Amore,Private HEI,Cavite,Trece Martires City
04 - CALABARZON,Trece Martires City College,LUC,Cavite,Trece Martires City
04 - CALABARZON,Polytechnic University of the Philippines-Unisan,SUC Satellite,Quezon,Unisan
05 - Bicol Region,Aroroy Municipal College,LUC,Masbate,Aroroy
05 - Bicol Region,Baao Community College,LUC,Camarines Sur,Baao
05 - Bicol Region,Zamora Memorial College,Private HEI,Albay,Bacacay
05 - Bicol Region,Bicol Training and Technological College,Private HEI,Albay,Bacacay
05 - Bicol Region,Bacacay Community College,LUC,Albay,Bacacay
05 - Bicol Region,Masbate Polytechnic and Development College,Private HEI,Masbate,Baleno
05 - Bicol Region,Balud Municipal College,LUC,Masbate,Balud
05 - Bicol Region,Holy Trinity College of Camarines Sur,Private HEI,Camarines Sur,Bato
05 - Bicol Region,Buhi St. Joseph Academy,Private HEI,Camarines Sur,Buhi
05 - Bicol Region,R.G. de Castro Colleges,Private HEI,Sorsogon,Bulan
05 - Bicol Region,Southern Luzon Institute,Private HEI,Sorsogon,Bulan
05 - Bicol Region,Sorsogon State University-Bulan Campus,SUC Satellite,Sorsogon,Bulan
05 - Bicol Region,Solis Institute of Technology,Private HEI,Sorsogon,Bulan
05 - Bicol Region,Central Bicol State University of Agriculture-Calabanga,SUC Satellite,Camarines Sur,Calabanga
05 - Bicol Region,Calabanga Community College,LUC,Camarines Sur,Calabanga
05 - Bicol Region,Mariners' Polytechnic Colleges Foundation of Canaman,Private HEI,Camarines Sur,Canaman
05 - Bicol Region,Aeronautical Academy of the Philippines,Private HEI,Camarines Sur,Canaman
05 - Bicol Region,Capalonga College,Private HEI,Camarines Norte,Capalonga
05 - Bicol Region,Caramoan Community College,LUC,Camarines Sur,Caramoan
05 - Bicol Region,Partido State University-Caramoan Campus,SUC Satellite,Camarines Sur,Caramoan
05 - Bicol Region,Estenias Science Foundation School,Private HEI,Sorsogon,Casiguran
05 - Bicol Region,Sorsogon State University-Castilla Campus,SUC Satellite,Sorsogon,Castilla
05 - Bicol Region,Cataingan Municipal College,LUC,Masbate,Cataingan
05 - Bicol Region,Cataingan Polytechnic Institute,Private HEI,Masbate,Cataingan
05 - Bicol Region,Camarines Norte State College-Main,SUC Main,Camarines Norte,Daet
05 - Bicol Region,La Consolacion College-Daet,Private HEI,Camarines Norte,Daet
05 - Bicol Region,Mabini Colleges,Private HEI,Camarines Norte,Daet
05 - Bicol Region,Our Lady of Lourdes College Foundation,Private HEI,Camarines Norte,Daet
05 - Bicol Region,ACLC College of Daet,Private HEI,Camarines Norte,Daet
05 - Bicol Region,Camarines Norte State College-Abaño Campus,SUC Satellite,Camarines Norte,Daet
05 - Bicol Region,Bicol College,Private HEI,Albay,Daraga
05 - Bicol Region,Bicol University-Daraga Campus,SUC Satellite,Albay,Daraga
05 - Bicol Region,Immaculate Conception College-Albay,Private HEI,Albay,Daraga
05 - Bicol Region,Mater Salutis College Seminary,Private HEI,Albay,Daraga
05 - Bicol Region,Daraga Community College,LUC,Albay,Daraga
05 - Bicol Region,Belen B. Francisco Foundation-Albay,Private HEI,Albay,Daraga
05 - Bicol Region,Alfelor Sr. Memorial College,Private HEI,Camarines Sur,Del Gallego
05 - Bicol Region,Donsol Community College,LUC,Sorsogon,Donsol
05 - Bicol Region,Governor Mariano E. Villafuerte Community College-Garchitorena,LUC,Camarines Sur,Garchitorena
05 - Bicol Region,Fatima School of Science and Technology,Private HEI,Camarines Sur,Goa
05 - Bicol Region,Partido College,Private HEI,Camarines Sur,Goa
05 - Bicol Region,Partido State University-Main,SUC Main,Camarines Sur,Goa
05 - Bicol Region,Bicol University Gubat Campus,SUC Satellite,Sorsogon,Gubat
05 - Bicol Region,Bicol University-College of Agriculture and Forestry,SUC Satellite,Albay,Guinobatan
05 - Bicol Region,Republic Colleges of Guinobatan,Private HEI,Albay,Guinobatan
05 - Bicol Region,PLT College of Guinobatan,Private HEI,Albay,Guinobatan
05 - Bicol Region,Guinobatan Community College,LUC,Albay,Guinobatan
05 - Bicol Region,Ceguera Technological Colleges,Private HEI,Camarines Sur,Iriga City
05 - Bicol Region,La Consolacion College-Iriga City,Private HEI,Camarines Sur,Iriga City
05 - Bicol Region,University of Northeastern Philippines,Private HEI,Camarines Sur,Iriga City
05 - Bicol Region,University of Saint Anthony,Private HEI,Camarines Sur,Iriga City
05 - Bicol Region,Worldtech Resources Foundation-Iriga City,Private HEI,Camarines Sur,Iriga City
05 - Bicol Region,Regina Mondi College,Private HEI,Camarines Sur,Iriga City
05 - Bicol Region,ACLC College of Iriga City,Private HEI,Camarines Sur,Iriga City
05 - Bicol Region,Veritas College of Irosin,Private HEI,Sorsogon,Irosin
05 - Bicol Region,Camarines Norte State College-Panganiban Campus,SUC Satellite,Camarines Norte,Jose Panganiban
05 - Bicol Region,Camarines Norte College,Private HEI,Camarines Norte,Labo
05 - Bicol Region,Camarines Norte State College-Labo Campus,SUC Satellite,Camarines Norte,Labo
05 - Bicol Region,Holy Trinity College Seminary,Private HEI,Camarines Norte,Labo
05 - Bicol Region,Camarines Norte College of Arts and Business,Private HEI,Camarines Norte,Labo
05 - Bicol Region,Northills College of Asia (NCA),Private HEI,Camarines Norte,Labo
05 - Bicol Region,Partido State University-Lagonoy Campus,SUC Satellite,Camarines Sur,Lagonoy
05 - Bicol Region,Ago Medical and Educational Center,Private HEI,Albay,Legazpi City
05 - Bicol Region,Bicol Christian College of Medicine,Private HEI,Albay,Legazpi City
05 - Bicol Region,De Vera Institute of Technology,Private HEI,Albay,Legazpi City
05 - Bicol Region,University of Santo Tomas-Legazpi,Private HEI,Albay,Legazpi City
05 - Bicol Region,Bicol University-Main,SUC Main,Albay,Legazpi City
05 - Bicol Region,Computer Arts and Technological College,Private HEI,Albay,Legazpi City
05 - Bicol Region,Divine Word College of Legazpi,Private HEI,Albay,Legazpi City
05 - Bicol Region,Mariners' Polytechnic Colleges Foundation of Legazpi City,Private HEI,Albay,Legazpi City
05 - Bicol Region,Tanchuling College,Private HEI,Albay,Legazpi City
05 - Bicol Region,STI College-Legazpi,Private HEI,Albay,Legazpi City
05 - Bicol Region,Computer Communication Development Institute-Legazpi City,Private HEI,Albay,Legazpi City
05 - Bicol Region,AMA Computer College-Legazpi City,Private HEI,Albay,Legazpi City
05 - Bicol Region,Southern Luzon Technological College Foundation-Legazpi,Private HEI,Albay,Legazpi City
05 - Bicol Region,Forbes College,Private HEI,Albay,Legazpi City
05 - Bicol Region,Computer Systems Institute,Private HEI,Albay,Legazpi City
05 - Bicol Region,Luis H. Dilanco Sr. Foundation College,Private HEI,Camarines Sur,Libmanan
05 - Bicol Region,Governor Mariano E. Villafuerte Community College-Libmanan,LUC,Camarines Sur,Libmanan
05 - Bicol Region,Libon Community College,LUC,Albay,Libon
05 - Bicol Region,Ligao Community College,LUC,Albay,Ligao City
05 - Bicol Region,Infotech Development Systems Colleges,Private HEI,Albay,Ligao City
05 - Bicol Region,Computer Arts and Technological College-Ligao City,Private HEI,Albay,Ligao City
05 - Bicol Region,St. Peter Baptist College Foundation,Private HEI,Camarines Sur,Lupi
05 - Bicol Region,Sorsogon State University-Magallanes Campus,SUC Satellite,Sorsogon,Magallanes
05 - Bicol Region,San Jose Community College,LUC,Albay,Malilipot
05 - Bicol Region,Dr. Emilio B. Espinosa Sr. Memorial State College of Agriculture and Technology,SUC Main,Masbate,Mandaon
05 - Bicol Region,Community College of Manito,LUC,Albay,Manito
05 - Bicol Region,Liceo de Masbate,Private HEI,Masbate,Masbate City
05 - Bicol Region,Masbate Colleges,Private HEI,Masbate,Masbate City
05 - Bicol Region,Osmeña Colleges,Private HEI,Masbate,Masbate City
05 - Bicol Region,Southern Bicol Colleges,Private HEI,Masbate,Masbate City
05 - Bicol Region,Masbate Central Technical Institute,Private HEI,Masbate,Masbate City
